Scientific_Name,en_uk,fr,es,nl,no
Copsychus albiventris,Andaman Shama,Shama des Andaman,Shama Culiblanco,Andamanenshamalijster,hvitbukshama
Copsychus albospecularis,Madagascar Magpie-Robin,Shama de Madagascar,Shama Malgache,Madagaskardayallijster,gasserskjæreskvett
Copsychus cebuensis,Black Shama,Shama de Cebu,Shama de Cebú,Cebushamalijster,svartshama
Copsychus fulicatus,Indian Robin,Pseudotraquet indien,Tarabilla Terrestre,Indisch Paapje,hinduskvett
Copsychus luzoniensis,White-browed Shama,Shama bridé,Shama de Luzón,Witbrauwshamalijster,hvitbrynshama
Copsychus malabaricus,White-rumped Shama,Shama à croupion blanc,Shama Malabar,Shamalijster,arieshama
Copsychus mindanensis,Philippine Magpie-Robin,Shama des Philippines,Shama Filipino,Filippijnse Dayallijster,filippinerskjæreskvett
Copsychus niger,White-vented Shama,Shama noir,Shama de Palawan,Zwarte Dayallijster,palawanshama
Copsychus pyrropygus,Rufous-tailed Shama,Shama à queue rousse,Shama Colirrufo,Vuurstaartshamalijster,rusthaleshama
Copsychus saularis,Oriental Magpie-Robin,Shama dayal,Shama Oriental,Dayallijster,orientskjæreskvett
Coracias abyssinicus,Abyssinian Roller,Rollier d'Abyssinie,Carraca Abisinia,Sahelscharrelaar,sahelråke
Coracias benghalensis,Indian Roller,Rollier indien,Carraca India,Indian Roller,bengalråke
Coracias caudatus,Lilac-breasted Roller,Rollier à longs brins,Carraca Lila,Vorkstaartscharrelaar,savanneråke
Coracias garrulus,European Roller,Rollier d'Europe,Carraca Europea,Scharrelaar,blåråke
Coracina caesia,Grey Cuckooshrike,Échenilleur gris,Oruguero Gris,Bosrupsvogel,grålarveeter
Coracina cinerea,Madagascar Cuckooshrike,Échenilleur malgache,Oruguero de Madagascar,Madagaskar-rupsvogel (Madagascar),askelarveeter
Coracina lineata,Barred Cuckooshrike,Échenilleur linéolé,Oruguero Lineado,Geeloogrupsvogel,guløyelarveeter
Coracina longicauda,Hooded Cuckooshrike,Échenilleur à longue queue,Oruguero Encapuchado,Langstaartrupsvogel,hettelarveeter
Coracina macei,Large Cuckooshrike,Échenilleur de Macé,Oruguero de Macé,Grote Rupsvogel,storlarveeter
Coracina novaehollandiae,Black-faced Cuckooshrike,Échenilleur à masque noir,Oruguero Carinegro,Australische Rupsvogel,maskelarveeter
Coracina papuensis,White-bellied Cuckooshrike,Échenilleur choucari,Oruguero Papú,Papoearupsvogel,hvitbuklarveeter
Coracina pectoralis,White-breasted Cuckooshrike,Échenilleur à ventre blanc,Oruguero Pechiblanco,Witborstrupsvogel,hvitbrystlarveeter
Coracina striata,Bar-bellied Cuckooshrike,Échenilleur barré,Oruguero Barrado,Gebandeerde Rupsvogel,båndlarveeter
Coracopsis nigra,Lesser Vasa Parrot,Vaza noir,Loro Negro,Kleine Vasapapegaai,svartpapegøye
Coracopsis vasa,Greater Vasa Parrot,Grand Vaza,Loro Vasa,Grote Vasapapegaai,vasapapegøye
Coragyps atratus,American Black Vulture,Urubu noir,Zopilote Negro,Zwarte Gier,svartkondor
Corapipo altera,White-ruffed Manakin,Manakin à fraise,Saltarín Gorjiblanco Occidental,Westelijke Witbefmanakin,tvillingmanakin
Corapipo gutturalis,White-throated Manakin,Manakin à gorge blanche,Saltarín Gorjiblanco de las Guayanas,Witkeelmanakin,hvitstrupemanakin
Corcorax melanorhamphos,White-winged Chough,Corbicrave leucoptère,Corvino Negro,Modderkraai,pottemakerfugl
Cormobates leucophaea,White-throated Treecreeper,Échelet leucophée,Corretroncos Gorjiblanco,Witkeelkruiper,hvitstrupebarkkryper
Cormobates placens,Papuan Treecreeper,Échelet papou,Corretroncos Papú,Papoeakruiper,papuabarkkryper
Corthylio calendula,Ruby-crowned Kinglet,Roitelet à couronne rubis,Reyezuelo Rubí,Roodkroonhaan,rubinfuglekonge
Corvus albicollis,White-necked Raven,Corbeau à nuque blanche,Cuervo Cuelliblanco,Witnekraaf,kopjeravn
Corvus albus,Pied Crow,Corbeau pie,Cuervo Pío,Schildraaf,hvitbrystkråke
Corvus brachyrhynchos,American Crow,Corneille d'Amérique,Cuervo Americano,Amerikaanse Kraai,amerikakråke
Corvus capensis,Cape Crow,Corneille du Cap,Cuervo de El Cabo,Kaapse Roek,smalnebbkråke
Corvus corax,Common Raven,Grand Corbeau,Cuervo Grande,Raaf,ravn
Corvus cornix,Hooded Crow,Corneille mantelée,Corneja Cenicienta,Bonte Kraai,kråke
Corvus corone,Carrion Crow,Corneille noire,Corneja Negra,Zwarte Kraai,svartkråke
Corvus coronoides,Australian Raven,Corbeau d'Australie,Cuervo Australiano,Australische Raaf,klageravn
Corvus cryptoleucus,Chihuahuan Raven,Corbeau à cou blanc,Cuervo Llanero,Woestijnraaf,kaktusravn
Corvus dauuricus,Daurian Jackdaw,Choucas de Daourie,Grajilla Oriental,Daurische Kauw,mongolkaie
Corvus enca,Slender-billed Crow,Corneille à bec fin,Cuervo Picofino,Soenda-kraai,arkipelkråke
Corvus florensis,Flores Crow,Corneille de Florès,Cuervo de Flores,Floreskraai,floreskråke
Corvus frugilegus,Rook,Corbeau freux,Graja,Roek,kornkråke
Corvus hawaiiensis,Hawaiian Crow,Corneille d'Hawaï,Cuervo Hawaiano,Hawaiikraai,hawaiikråke
Corvus imparatus,Tamaulipas Crow,Corneille du Mexique,Cuervo Tamaulipeco,Mexicaanse Kraai,kvekkekråke
Corvus jamaicensis,Jamaican Crow,Corneille de Jamaïque,Cuervo Jamaicano,Jamaicaanse Kraai,jamaicakråke
Corvus leucognaphalus,White-necked Crow,Corneille d'Hispaniola,Cuervo de la Española,Witnekkraai,hispaniolakråke
Corvus macrorhynchos,Large-billed Crow,Corbeau à gros bec,Cuervo Picudo,Dikbekkraai,tykknebbkråke
Corvus mellori,Little Raven,Petit Corbeau,Cuervo de Mellor,Kleine Raaf,flokkravn
Corvus monedula,Eurasian Jackdaw,Choucas des tours,Grajilla Occidental,Kauw,kaie
Corvus nasicus,Cuban Crow,Corneille de Cuba,Cuervo Cubano,Cubaanse Kraai,kubakråke
Corvus orru,Torresian Crow,Corbeau de Torres,Cuervo de Torres,Australische Kraai,australkråke
Corvus ossifragus,Fish Crow,Corneille de rivage,Cuervo Pescador,Viskraai,fiskekråke
Corvus palmarum,Hispaniolan Palm-Crow,Corneille palmiste,Cuervo Palmero,Palmkraai,palmekråke
Corvus rhipidurus,Fan-tailed Raven,Corbeau à queue courte,Cuervo Colicorto,Waaierstaartraaf,korthaleravn
Corvus ruficollis,Brown-necked Raven,Corbeau brun,Cuervo Desertícola,Bruinnekraaf,brunnakkeravn
Corvus sinaloae,Sinaloa Crow,Corneille du Sinaloa,Cuervo Sinaloense,Sinaloakraai,sinaloakråke
Corvus splendens,House Crow,Corbeau familier,Cuervo Indio,Huiskraai,huskråke
Corvus tasmanicus,Forest Raven,Corbeau de Tasmanie,Cuervo de Tasmania,Tasmaanse Raaf,tasmanravn
Corvus tristis,Grey Crow,Corneille grise,Cuervo Gris,Maskerkraai,papuakråke
Corvus typicus,Piping Crow,Corneille des Célèbes,Cuervo de Célebes,Sulawesikraai,sulawesikråke
Corvus validus,Long-billed Crow,Corneille des Moluques,Cuervo Moluqueño,Molukse Kraai,langnebbkråke
Corydon sumatranus,Dusky Broadbill,Eurylaime corydon,Eurilaimo Sombrío,Sumatraanse Hapvogel,sotbrednebb
Coryphaspiza melanotis,Black-masked Finch,Coryphaspize à joues noires,Cachilo Enmascarado,Camposgors,svartkinnspurv
Coryphistera alaudina,Lark-like Brushrunner,Annumbi alouette,Espinero Crestudo,Leeuwerikstruikloper,lerkekrattløper
Coryphospingus cucullatus,Red-crested Finch,Araguira rougeâtre,Soldadito Crestirrojo,Rode Kroongors,rødgnistspurv
Coryphospingus pileatus,Pileated Finch,Araguira gris,Soldadito Capirotado,Grijze Kroongors,grågnistspurv
Corythaeola cristata,Great Blue Turaco,Touraco géant,Turaco Gigante,Reuzentoerako,kjempeturako
Corythaixoides concolor,Gray Go-away-bird,Touraco concolore,Turaco Unicolor,Vale Toerako,gråturako
Corythaixoides leucogaster,White-bellied Go-away-bird,Touraco à ventre blanc,Turaco Ventriblanco,Witbuiktoerako,hvitbukturako
Corythopis delalandi,Southern Antpipit,Corythopis de Delalande,Mosquero Terrestre Sureño,Delalandes Piepertiran,sørmaurtyrann
Corythopis torquatus,Ringed Antpipit,Corythopis à collier,Mosquero Terrestre Norteño,Geringde Piepertiran,amazonmaurtyrann
Corythornis cristatus,Malachite Kingfisher,Martin-pêcheur huppé,Martín Pescador Malaquita,Malachietijsvogel,tiaraisfugl
Coscoroba coscoroba,Coscoroba Swan,Coscoroba blanc,Cisne Coscoroba,Coscoroba,coscorobasvane
Cossypha albicapillus,White-crowned Robin-Chat,Cossyphe à calotte blanche,Cosifa Coroniblanca,Schubkaplawaaimaker,hvitkronetrosteskvett
Cossypha anomala,Olive-flanked Robin-Chat,Cossyphe à flancs olive,Cosifa Anómala,Bruinflankjanfrederik,oliventrosteskvett
Cossypha archeri,Archer's Robin-Chat,Cossyphe d'Archer,Cosifa de Archer,Archers Janfrederik,kivutrosteskvett
Cossypha caffra,Cape Robin-Chat,Cossyphe du Cap,Cosifa Cafre,Kaapse Lawaaimaker,gråflanketrosteskvett
Cossypha cyanocampter,Blue-shouldered Robin-Chat,Cossyphe à ailes bleues,Cosifa Aliazul,Blauwschouderlawaaimaker,blåvingetrosteskvett
Cossypha dichroa,Chorister Robin-Chat,Cossyphe choriste,Cosifa Bicolor,Choristerlawaaimaker,zulutrosteskvett
Cossypha heuglini,White-browed Robin-Chat,Cossyphe de Heuglin,Cosifa de Heuglin,Witbrauwlawaaimaker,hvitbryntrosteskvett
Cossypha humeralis,White-throated Robin-Chat,Cossyphe à gorge blanche,Cosifa Gorjiblanca,Witkeellawaaimaker,torntrosteskvett
Cossypha natalensis,Red-capped Robin-Chat,Cossyphe à calotte rousse,Cosifa de Natal,Roodkoplawaaimaker,mønjetrosteskvett
Cossypha niveicapilla,Snowy-crowned Robin-Chat,Cossyphe à calotte neigeuse,Cosifa Coroninívea,Witkruinlawaaimaker,snøkronetrosteskvett
Cossypha polioptera,Gray-winged Robin-Chat,Gray-winged Robin-Chat,Gray-winged Robin-Chat,Gray-winged Robin-Chat,Gray-winged Robin-Chat
Cossypha semirufa,Rüppell's Robin-Chat,Cossyphe de Rüppell,Cosifa de Rüppell,Rüppells Lawaaimaker,bergtrosteskvett
Coturnicops noveboracensis,Yellow Rail,Râle jaune,Polluela Amarillenta,Gele Ral,okerrikse
Coturnix coromandelica,Rain Quail,Caille nattée,Codorniz Coromandélica,Regenkwartel,regnvaktel
Coturnix coturnix,Common Quail,Caille des blés,Codorniz Común,Kwartel,vaktel
Coturnix delegorguei,Harlequin Quail,Caille arlequin,Codorniz Arlequín,Harlekijnkwartel,harlekinvaktel
Coturnix japonica,Japanese Quail,Caille du Japon,Codorniz Japonesa,Japanse Kwartel,engvaktel
Coturnix pectoralis,Stubble Quail,Caille des chaumes,Codorniz Pectoral,Stoppelveldkwartel,gressvaktel
Coua caerulea,Blue Coua,Coua bleu,Cúa Azul,Blauwe Coua,blåkoa
Coua coquereli,Coquerel's Coua,Coua de Coquerel,Cúa de Coquerel,Coquerels Coua,sakalavakoa
Coua cristata,Crested Coua,Coua huppé,Cúa Crestado,Kuifcoua,toppkoa
Coua gigas,Giant Coua,Coua géant,Cúa Gigante,Grote Coua,kjempekoa
Coua reynaudii,Red-fronted Coua,Coua de Reynaud,Cúa Frentirrojo,Reynauds Coua,rødpannekoa
Coua ruficeps,Red-capped Coua,Coua à tête rousse,Cúa Capirrojo,Roestkopcoua,rødkronekoa
Coua serriana,Red-breasted Coua,Coua de Serrès,Cúa Pechirrojo,Vruchtencoua,rødbrystkoa
Cracticus cassicus,Hooded Butcherbird,Cassican à tête noire,Verdugo Cabecinegro,Papoeaorgelvogel,papuaslakterfugl
Cracticus nigrogularis,Pied Butcherbird,Cassican à gorge noire,Verdugo Gorjinegro,Zwartkeelorgelvogel,sangslakterfugl
Cracticus quoyi,Black Butcherbird,Cassican des mangroves,Verdugo Negro,Zwarte Orgelvogel,svartslakterfugl
Cracticus torquatus,Grey Butcherbird,Cassican à collier,Verdugo Acollarado,Grijsrugorgelvogel,gråryggslakterfugl
Cranioleuca albicapilla,Creamy-crested Spinetail,Synallaxe à calotte blanche,Curutié Crestado,Vaalkopstekelstaart,kremkronestifthale
Cranioleuca albiceps,Light-crowned Spinetail,Synallaxe à bandeaux,Curutié Coronado,Witkruinstekelstaart,blekkronestifthale
Cranioleuca antisiensis,Line-cheeked Spinetail,Synallaxe grimpeur,Curutié Cariestriado,Line-cheeked Spinetail,strekørestifthale
Cranioleuca curtata,Ash-browed Spinetail,Synallaxe à sourcils gris,Curutié Cejigrís,Grijsbrauwstekelstaart,askebrynstifthale
Cranioleuca demissa,Tepui Spinetail,Synallaxe des tépuis,Curutié de Tepuí,Tepuistekelstaart,tepuistifthale
Cranioleuca erythrops,Red-faced Spinetail,Synallaxe à face rouge,Curutié Carirrojo,Roodwangstekelstaart,rødhettestifthale
Cranioleuca gutturata,Speckled Spinetail,Synallaxe ponctué,Curutié Jaspeado,Gespikkelde Stekelstaart,prikkstifthale
Cranioleuca hellmayri,Streak-capped Spinetail,Synallaxe des broméliades,Curutié de Santa Marta,Streepkapstekelstaart,stripehodestifthale
Cranioleuca marcapatae,Marcapata Spinetail,Synallaxe de Marcapata,Curutié de Marcapata,Marcapatastekelstaart,marcapatastifthale
Cranioleuca obsoleta,Olive Spinetail,Synallaxe olive,Curutié Oliváceo,Olijfkleurige Stekelstaart,olivenstifthale
Cranioleuca pallida,Pallid Spinetail,Synallaxe pâle,Curutié Pálido,Vale Stekelstaart,blekstifthale
Cranioleuca pyrrhophia,Stripe-crowned Spinetail,Synallaxe à calotte rayée,Curutié Ventriblanco,Streepkruinstekelstaart,stripekronestifthale
Cranioleuca semicinerea,Grey-headed Spinetail,Synallaxe à tête grise,Curutié Cabecigrís,Grijskopstekelstaart,gråhodestifthale
Cranioleuca subcristata,Crested Spinetail,Synallaxe huppé,Curutié Copetón,Kuifstekelstaart,raggkronestifthale
Cranioleuca vulpecula,Parker's Spinetail,Synallaxe de Parker,Curutié de Parker,Parkers Stekelstaart,flodstifthale
Cranioleuca vulpina,Rusty-backed Spinetail,Synallaxe renard,Curutié Vulpino,Roodrugstekelstaart,revestifthale
Crateroscelis murina,Rusty Mouse-Warbler,Séricorne fauve,Acantiza Ratona,Bruine Struiksluiper,kanelmusesmett
Crateroscelis robusta,Mountain Mouse-Warbler,Séricorne robuste,Acantiza Robusta,Bergstruiksluiper,fjellmusesmett
Crax alberti,Blue-billed Curassow,Hocco d'Albert,Pavón Piquiazul,Blauwknobbelhokko,blåknopphokko
Crax alector,Black Curassow,Hocco alector,Pavón Guayanés,Zwarte Hokko,trollhokko
Crax fasciolata,Bare-faced Curassow,Hocco à face nue,Pavón Muitú,Maskerhokko,krøllhokko
Crax rubra,Great Curassow,Grand Hocco,Pavón Norteño,Bruine Hokko,storhokko
Creagrus furcatus,Swallow-tailed Gull,Mouette à queue fourchue,Gaviota Tijereta,Zwaluwstaartmeeuw,svalestjertmåke
Creatophora cinerea,Wattled Starling,Étourneau caronculé,Estornino Carunculado,Lelspreeuw,flikstær
Crex crex,Corncrake,Râle des genêts,Guión de Codornices,Kwartelkoning,åkerrikse
Crinifer piscator,Western Plantain-eater,Touraco gris,Turaco Gris Occidental,Grijze Bananeneter,flekkturako
Criniger barbatus,Western Bearded-Greenbul,Bulbul crinon,Bulbul Barbado,Temmincks Baardbuulbuul,guineaskjeggbylbyl
Criniger calurus,Red-tailed Greenbul,Bulbul à barbe blanche,Bulbul Colirrojo,Roodstaartbaardbuulbuul,rødhaleskjeggbylbyl
Criniger chloronotus,Eastern Bearded-Greenbul,Bulbul à dos vert,Bulbul Dorsiverde,Cassins Baardbuulbuul,kongoskjeggbylbyl
Crithagra albogularis,White-throated Canary,Serin à gorge blanche,Serín Gorjiblanco,Witkeelkanarie,hvitstrupeirisk
Crithagra atrogularis,Black-throated Canary,Serin à gorge noire,Serín Gorjinegro,Zwartkeelkanarie,gulgumpirisk
Crithagra buchanani,Southern Grosbeak-Canary,Serin de Buchanan,Serín Piquigordo Sureño,Zuidelijke Dikbekkanarie,masaiirisk
Crithagra dorsostriata,White-bellied Canary,Serin à ventre blanc,Serín Dorsiestriado,Witbuikkanarie,hvitbukirisk
Crithagra flaviventris,Yellow Canary,Serin de Sainte-Hélène,Serín Amarillo,Geelbuikkanarie,gulbukirisk
Crithagra gularis,Streaky-headed Seedeater,Serin gris,Serín Gris,Streepkopkanarie (gularis groep),stripehodeirisk
Crithagra hyposticta,Southern Citril,Serin est-africain,Serín de África,Gestreepte Dunbekkanarie,bananirisk
Crithagra menachensis,Yemen Serin,Serin du Yémen,Serín Yemení,Jemenitische Kanarie,jemenirisk
Crithagra mozambica,Yellow-fronted Canary,Serin du Mozambique,Serín Frentiamarillo,Mozambiquesijs,savanneirisk
Crithagra reichenowi,Reichenow's Seedeater,Serin de Reichenow,Serín de Reichenow,Reichenows Kanarie,sitrongumpirisk
Crithagra scotops,Forest Canary,Serin forestier,Serín Forestal,Boskanarie,skogirisk
Crithagra striolata,Streaky Seedeater,Serin strié,Serín Estriado,Gestreepte Kanarie,stripeirisk
Crithagra sulphurata,Brimstone Canary,Serin soufré,Serín Azufrado,Zwavelkanarie,svovelirisk
Crossleyia xanthophrys,Yellow-browed Oxylabes,Fouditany à sourcils jaunes,Silvícola Foditany,Geelbrauwfoditany,sitronbrynsanger
Crotophaga ani,Smooth-billed Ani,Ani à bec lisse,Garrapatero Aní,Kleine Ani,glattnebbani
Crotophaga major,Greater Ani,Ani des palétuviers,Garrapatero Mayor,Grote Ani,storani
Crotophaga sulcirostris,Groove-billed Ani,Ani à bec cannelé,Garrapatero Asurcado,Groefsnavelani,furenebbani
Crypsirina temia,Racket-tailed Treepie,Témia bronzée,Urraca Bronceada,Zwarte Ekster,bronseskjære
Cryptillas victorini,Victorin's Warbler,Cryptille de Victorin,Zarzalero de Victorin,Victorins Struikzanger,fynbossanger
Cryptoleucopteryx plumbea,Plumbeous Hawk,Buse plombée,Busardo Plomizo,Donkergrijze Buizerd,blyvåk
Cryptopezus nattereri,Speckle-breasted Antpitta,Grallaire de Natterer,Tororoí de Natterer,Natterers Mierpitta,prikkbrystmaurpitta
Cryptopipo holochlora,Green Manakin,Manakin vert,Saltarín Verde,Groene Manakin,grønnmanakin
Cryptospiza reichenovii,Red-faced Crimsonwing,Astrild de Reichenow,Estrilda de Reichenow,Reichenows Bergastrild,brilleastrild
Cryptosylvicola randrianasoloi,Cryptic Warbler,Sylvicole cryptique,Silvícola Críptico,Cryptische Zanger,betsimisarakasanger
Crypturellus atrocapillus,Black-capped Tinamou,Tinamou à calotte noire,Tinamú Capirotado,Zwartkoptinamoe,svarthettetinamu
Crypturellus bartletti,Bartlett's Tinamou,Tinamou de Bartlett,Tinamú de Bartlett,Bartletts Tinamoe,skogtinamu
Crypturellus boucardi,Slaty-breasted Tinamou,Tinamou de Boucard,Tinamú Pizarroso,Grijsborsttinamoe,gråbrysttinamu
Crypturellus cinereus,Cinereous Tinamou,Tinamou cendré,Tinamú Sombrío,Grauwe Tinamoe,gråtinamu
Crypturellus cinnamomeus,Thicket Tinamou,Tinamou cannelle,Tinamú Canelo,Struiktinamoe,krattinamu
Crypturellus duidae,Grey-legged Tinamou,Tinamou de Zimmer,Tinamú Patigrís,Grijspoottinamoe,gråbeintinamu
Crypturellus erythropus,Red-legged Tinamou,Tinamou à pieds rouges,Tinamú Patirrojo,Roodpoottinamoe,rødbeintinamu
Crypturellus noctivagus,Yellow-legged Tinamou,Tinamou noctivague,Tinamú Patigualdo,Geelpoottinamoe,gulbeintinamu
Crypturellus obsoletus,Brown Tinamou,Tinamou brun,Tinamú Café,Bruine Tinamoe,bruntinamu
Crypturellus parvirostris,Small-billed Tinamou,Tinamou à petit bec,Tinamú Piquicorto,Kortsnaveltinamoe,kortnebbtinamu
Crypturellus soui,Little Tinamou,Tinamou soui,Tinamú Chico,Kleine Tinamoe,småtinamu
Crypturellus strigulosus,Brazilian Tinamou,Tinamou oariana,Tinamú Brasileño,Braziliaanse Tinamoe,brasiltinamu
Crypturellus tataupa,Tataupa Tinamou,Tinamou tataupa,Tinamú Tataupá,Tataupatinamoe,tataupatinamu
Crypturellus transfasciatus,Pale-browed Tinamou,Tinamou à grands sourcils,Tinamú Cejudo,Wenkbrauwtinamoe,hvitbryntinamu
Crypturellus undulatus,Undulated Tinamou,Tinamou vermiculé,Tinamú Ondeado,Marmertinamoe,amazontinamu
Crypturellus variegatus,Variegated Tinamou,Tinamou varié,Tinamú Abigarrado,Bonte Tinamoe,rusthalstinamu
Cuculus canorus,Common Cuckoo,Coucou gris,Cuco Común,Koekoek,gjøk
Cuculus clamosus,Black Cuckoo,Coucou criard,Cuco Negro,Zwarte Koekoek,svartgjøk
Cuculus gularis,African Cuckoo,Coucou africain,Cuco Barbiblanco,Afrikaanse Koekoek,afrikagjøk
Cuculus lepidus,Sunda Cuckoo,Coucou de la Sonde,Cuco de la Sonda,Soendakoekoek,sundagjøk
Cuculus micropterus,Indian Cuckoo,Coucou à ailes courtes,Cuco Alicorto,Kortvleugelkoekoek,asiagjøk
Cuculus optatus,Oriental Cuckoo,Coucou oriental,Cuco Oriental,Boskoekoek,taigagjøk
Cuculus poliocephalus,Lesser Cuckoo,Petit Coucou,Cuco Chico,Kleine Koekoek,smågjøk
Cuculus rochii,Madagascar Cuckoo,Coucou de Madagascar,Cuco Malgache,Madagaskarkoekoek,madagaskargjøk
Cuculus saturatus,Himalayan Cuckoo,Coucou de l'Himalaya,Cuco del Himalaya,Himalayakoekoek,orientgjøk
Cuculus solitarius,Red-chested Cuckoo,Coucou solitaire,Cuco Solitario,Heremietkoekoek,rødbrystgjøk
Culicicapa ceylonensis,Grey-headed Canary-Flycatcher,Gobemoustique à tête grise,Papamoscas Cabecigrís,Grijskopvliegenvanger,gråhodefluejeger
Culicicapa helianthea,Citrine Canary-Flycatcher,Gobemoustique canari,Papamoscas Citrino,Kanarievliegenvanger,sitronfluejeger
Culicivora caudacuta,Sharp-tailed Tyrant,Tyranneau à queue aiguë,Tachurí Coludo,Puntstaarttiran,pigghaletyrann
Curaeus curaeus,Austral Blackbird,Carouge austral,Tordo Patagón,Stekelkoptroepiaal,patagoniatrupial
Curruca boehmi,Banded Parisoma,Fauvette sanglée,Curruca de Böhm,Gebandeerde Meeszanger,båndsanger
Curruca communis,Common Whitethroat,Fauvette grisette,Curruca Zarcera,Grasmus,tornsanger
Curruca conspicillata,Spectacled Warbler,Fauvette à lunettes,Curruca Tomillera,Brilgrasmus,maskesanger
Curruca crassirostris,Eastern Orphean Warbler,Fauvette orphéane,Curruca Mirlona Oriental,Oostelijke Orpheusgrasmus,mestersanger
Curruca curruca,Lesser Whitethroat,Fauvette babillarde,Curruca Zarcerilla,Braamsluiper,møller
Curruca hortensis,Western Orphean Warbler,Fauvette orphée,Curruca Mirlona Occidental,Westelijke Orpheusgrasmus,punersanger
Curruca iberiae,Western Subalpine Warbler,Fauvette passerinette,Curruca Carrasqueña Occidental,Western Subalpine Warbler,rødbrystsanger
Curruca melanocephala,Sardinian Warbler,Fauvette mélanocéphale,Curruca Cabecinegra,Kleine Zwartkop,svarthodesanger
Curruca nisoria,Barred Warbler,Fauvette épervière,Curruca Gavilana,Sperwergrasmus,hauksanger
Curruca subcoerulea,Chestnut-vented Warbler,Fauvette grignette,Curruca Sureña,Kaapse Meeszanger,rustgumpsanger
Curruca undata,Dartford Warbler,Fauvette pitchou,Curruca Rabilarga,Provençaalse Grasmus,vinsanger
Cutia legalleni,Vietnamese Cutia,Cutie de Le Gallen,Cutia Vietnamita,Vietnamese Cutia,båndkutia
Cutia nipalensis,Himalayan Cutia,Cutie du Népal,Cutia Nepalesa,Himalayacutia,hvitbrystkutia
Cyanerpes caeruleus,Purple Honeycreeper,Guit-guit céruléen,Mielerito Cerúleo,Purpersuikervogel,purpurhonningkryper
Cyanerpes cyaneus,Red-legged Honeycreeper,Guit-guit saï,Mielerito Patirrojo,Blauwe Suikervogel,rødbeinhonningkryper
Cyanicterus cyanicterus,Blue-backed Tanager,Tangara cyanictère,Tangara Dorsiazul,Siertangare,blåryggtanagar
Cyanistes caeruleus,Eurasian Blue Tit,Mésange bleue,Herrerillo Común,Pimpelmees,blåmeis
Cyanistes cyanus,Azure Tit,Mésange azurée,Herrerillo Azul,Azuurmees,asurmeis
Cyanistes teneriffae,African Blue Tit,Mésange nord-africaine,Herrerillo Canario,Tenerifepimpelmees,kalottmeis
Cyanocitta cristata,Blue Jay,Geai bleu,Chara Azul,Blauwe Gaai,blåskrike
Cyanocitta stelleri,Steller's Jay,Geai de Steller,Chara de Steller,Stellers Gaai,furuskrike
Cyanocompsa parellina,Blue Bunting,Évêque paré,Picogrueso Azul,Azuurbisschop,blekktykknebb
Cyanocorax affinis,Black-chested Jay,Geai à poitrine noire,Chara Pechinegra,Zwartborstgaai,blåflekkskrike
Cyanocorax beecheii,Purplish-backed Jay,Geai à dos violet,Chara de Beechey,Purperruggaai,purpurryggskrike
Cyanocorax caeruleus,Azure Jay,Geai azuré,Chara Cerúlea,Azuurblauwe Gaai,asurskrike
Cyanocorax cayanus,Cayenne Jay,Geai de Cayenne,Chara de Cayena,Cayennegaai,guyanaskrike
Cyanocorax chrysops,Plush-crested Jay,Geai acahé,Chara Moñuda,Pluchekapgaai,plysjskrike
Cyanocorax cristatellus,Curl-crested Jay,Geai à plumet,Chara Crestada,Kroeskopgaai,krøllskrike
Cyanocorax cyanomelas,Purplish Jay,Geai bleu-noir,Chara Morada,Purpergaai,fløyelsskrike
Cyanocorax cyanopogon,White-naped Jay,Geai à nuque blanche,Chara Nuquiblanca,Witnekgaai,brasilskrike
Cyanocorax dickeyi,Tufted Jay,Geai panaché,Chara Pinta,Kroongaai,børsteskrike
Cyanocorax melanocyaneus,Bushy-crested Jay,Geai houppé,Chara Centroamericana,Geelooggaai,raggskrike
Cyanocorax mystacalis,White-tailed Jay,Geai à moustaches,Chara Coliblanca,Witstaartgaai,kaktusskrike
Cyanocorax sanblasianus,San Blas Jay,Geai de San Blas,Chara de San Blas,Acapulcogaai,blåryggskrike
Cyanocorax violaceus,Violaceous Jay,Geai violacé,Chara Violácea,Violetgaai,sumpskrike
Cyanocorax yncas,Green Jay,Geai vert,Chara Verde,Groene Gaai,grønnskrike
Cyanocorax yucatanicus,Yucatan Jay,Geai du Yucatan,Chara Yucateca,Yucatángaai,yucatánskrike
Cyanoderma ambiguum,Buff-chested Babbler,Timalie ambiguë,Timalí Frentirrufo Gris,Haringtons Boomtimalia,okerbuktimal
Cyanoderma chrysaeum,Golden Babbler,Timalie dorée,Timalí Dorado,Gouden Boomtimalia,gulltimal
Cyanoderma erythropterum,Chestnut-winged Babbler,Timalie à ailes rousses,Timalí Alirrojo,Roodvleugelboomtimalia,kastanjevingetimal
Cyanoderma melanothorax,Crescent-chested Babbler,Timalie perlée,Timalí Perlado,Parelwangboomtimalia,halvmånetimal
Cyanoderma pyrrhops,Black-chinned Babbler,Timalie à bec rouge,Timalí Barbinegro,Zwartkinboomtimalia,svarthaketimal
Cyanoderma ruficeps,Rufous-capped Babbler,Timalie de Blyth,Timalí Coronirrojo,Roodkopboomtimalia,rustkronetimal
Cyanoderma rufifrons,Rufous-fronted Babbler,Timalie à front roux,Timalí Frentirrufo Rojizo,Hume-boomtimalia,rustpannetimal
Cyanolanius madagascarinus,Madagascar Blue Vanga,Artamie azurée,Vanga Azul (madagascarinus),Blauwe Vanga (Madagascar),blåvanga (madagascarinus)
