Scientific_Name,en_uk,fr,es,nl,no
Acrocephalus arundinaceus,Great Reed Warbler,Rousserolle turdoïde,Carricero Tordal,Grote Karekiet,trostesanger
Acrocephalus australis,Australian Reed Warbler,Rousserolle d'Australie,Carricero Australiano,Australische Karekiet,australtrostesanger
Acrocephalus baeticatus,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler,African Reed Warbler
Acrocephalus bistrigiceps,Black-browed Reed Warbler,Rousserolle de Schrenck,Carricerín Cejinegro,Zwartbrauwrietzanger,tvebrynsanger
Acrocephalus concinens,Blunt-winged Warbler,Rousserolle de Swinhoe,Carricero de Swinhoe,Indische Veldrietzanger,buttvingesanger
Acrocephalus dumetorum,Blyth's Reed Warbler,Rousserolle des buissons,Carricero de Blyth,Struikrietzanger,busksanger
Acrocephalus gracilirostris,Lesser Swamp Warbler,Rousserolle à bec fin,Carricero Picofino,Kaapse Rietzanger,dunkjevlesanger
Acrocephalus griseldis,Basra Reed Warbler,Rousserolle d'Irak,Carricero de Basora,Basrakarekiet,mesopotamiasanger
Acrocephalus melanopogon,Moustached Warbler,Lusciniole à moustaches,Carricerín Real,Zwartkoprietzanger,tamarisksanger
Acrocephalus newtoni,Madagascar Swamp Warbler,Rousserolle de Newton,Carricero Malgache,Madagaskarrietzanger,damsanger
Acrocephalus orientalis,Oriental Reed Warbler,Rousserolle d'Orient,Carricero Oriental,Chinese Karekiet,orienttrostesanger
Acrocephalus paludicola,Aquatic Warbler,Phragmite aquatique,Carricerín Cejudo,Waterrietzanger,vannsanger
Acrocephalus palustris,Marsh Warbler,Rousserolle verderolle,Carricero Políglota,Bosrietzanger,myrsanger
Acrocephalus rufescens,Greater Swamp Warbler,Rousserolle des cannes,Carricero Rufo,Papyrusrietzanger,papyrussanger
Acrocephalus schoenobaenus,Sedge Warbler,Phragmite des joncs,Carricerín Común,Rietzanger,sivsanger
Acrocephalus scirpaceus,Common Reed Warbler,Rousserolle effarvatte,Carricero Común,Kleine Karekiet,rørsanger
Acrocephalus stentoreus,Clamorous Reed Warbler,Rousserolle stentor,Carricero Estentóreo,Indische Karekiet,stentorsanger
Acrocephalus tangorum,Manchurian Reed Warbler,Rousserolle mandchoue,Carricerín Manchú,Mantsjoerijse Veldrietzanger,mandsjuriasanger
Acropternis orthonyx,Ocellated Tapaculo,Mérulaxe ocellé,Tapaculo Ocelado,Zilverpareltapaculo,perletapakulo
Actenoides concretus,Rufous-collared Kingfisher,Martin-chasseur trapu,Alción Malayo,Maleise Bosijsvogel,skjeggisfugl
Actenoides lindsayi,Spotted Kingfisher,Martin-chasseur tacheté,Alción Moteado,Luzonbosijsvogel,dråpeisfugl
Actenoides monachus,Green-backed Kingfisher,Martin-chasseur moine,Alción Monje,Blauwkopbosijsvogel,munkeisfugl
Actinodura cyanouroptera,Blue-winged Minla,Siva à ailes bleues,Siva Aliazul,Blauwvleugelminla,blåvingeminla
Actinodura egertoni,Rusty-fronted Barwing,Actinodure d'Egerton,Actinodura de Egerton,Grijskopstreepvleugel,maskegittervinge
Actinodura nipalensis,Hoary-throated Barwing,Actinodure du Népal,Actinodura Nepalesa,Nepalese Streepvleugel,gråbrystgittervinge
Actinodura ramsayi,Spectacled Barwing,Actinodure de Ramsay,Actinodura de Ramsay,Brilstreepvleugel,brillegittervinge
Actinodura strigula,Chestnut-tailed Minla,Actinodure à gorge striée,Minla Colicastaña,Ornaatminla,oransjekroneminla
Actinodura waldeni,Streak-throated Barwing,Actinodure de Walden,Actinodura de Yunnan,Yunnanstreepvleugel,brunstripegittervinge
Actitis hypoleucos,Common Sandpiper,Chevalier guignette,Andarríos Chico,Oeverloper,strandsnipe
Actitis macularius,Spotted Sandpiper,Chevalier grivelé,Andarríos Maculado,Amerikaanse Oeverloper,flekksnipe
Actophilornis africanus,African Jacana,Jacana à poitrine dorée,Jacana Africana,Lelieloper,afrikabladhøne
Adelomyia melanogenys,Speckled Hummingbird,Colibri moucheté,Colibrí Jaspeado,Zwartoorkolibrie,flekkolibri
Aechmophorus clarkii,Clark's Grebe,Grèbe à face blanche,Achichilique de Clark,Clarks Fuut,gulnebbdykker
Aechmophorus occidentalis,Western Grebe,Grèbe élégant,Achichilique Común,Zwanenhalsfuut,svanedykker
Aegithalos caudatus,Long-tailed Tit,Orite à longue queue,Mito Común,Staartmees,stjertmeis
Aegithalos concinnus,Black-throated Tit,Orite à tête rousse,Mito Gorjinegro,Roodkruinstaartmees,praktstjertmeis
Aegithalos glaucogularis,Silver-throated Tit,Orite à gorge argent,Mito Gorjigrís,Zilverkeelstaartmees,sølvhakestjertmeis
Aegithalos iouschistos,Black-browed Tit,Orite de Blyth,Mito Cejinegro,Bruinborststaartmees,ruststjertmeis
Aegithalos niveogularis,White-throated Tit,Orite à gorge blanche,Mito Gorjiblanco,Witkeelstaartmees,hvitkronestjertmeis
Aegithina nigrolutea,White-tailed Iora,Iora à queue blanche,Iora Coliblanca,Zwartkapiora,rajaløvfugl
Aegithina tiphia,Common Iora,Petit Iora,Iora Común,Gewone Iora,parkløvfugl
Aegithina viridissima,Green Iora,Iora émeraude,Iora Verde,Groene Iora,brilleløvfugl
Aegolius acadicus,Northern Saw-whet Owl,Petite Nyctale,Mochuelo Cabezón,Zaaguil,slipeugle
Aegolius funereus,Tengmalm's Owl,Nyctale de Tengmalm,Mochuelo Boreal,Ruigpootuil,perleugle
Aegolius harrisii,Buff-fronted Owl,Nyctale de Harris,Mochuelo Canela,Harris' Zaaguil,svartbrynugle
Aegolius ridgwayi,Unspotted Saw-whet Owl,Nyctale immaculée,Mochuelo Moreno,Ridgways Zaaguil,kanelugle
Aegotheles cristatus,Australian Owlet-nightjar,Égothèle d'Australie,Egotelo Australiano,Australische Dwergnachtzwaluw,australuglesvale
Aegypius monachus,Black Vulture,Vautour moine,Buitre Negro,Monniksgier,munkegribb
Aerodramus bartschi,Mariana Swiftlet,Salangane de Guam,Salangana de Guam,Marianensalangaan,marianesalangan
Aerodramus fuciphagus,White-nest Swiftlet,Salangane à nid blanc,Salangana Nidoblanco,Eetbaar-nestsalangaan,reirsuppesalangan
Aerodramus maximus,Black-nest Swiftlet,Salangane à nid noir,Salangana Nidonegro,Zwartnestsalangaan,malaysalangan
Aeronautes andecolus,Andean Swift,Martinet des Andes,Vencejo Andino,Andesgierzwaluw,andesseiler
